,Pays,Age,Genre,D̩penses des clients
0,France,32,Female,150.5
1,Germany,45,Male,200.75
2,Spain,28,Female,75.25
3,Italy,39,Male,180.0
4,UK,52,Female,250.3
5,France,22,Male,90.0
6,Germany,36,Female,175.5
7,Spain,41,Male,120.75
8,Italy,29,Female,95.25
9,UK,48,Male,220.0
10,France,35,Female,160.25
11,Germany,27,Male,85.5
12,Spain,50,Female,190.75
13,Italy,33,Male,140.0
14,UK,44,Female,210.5
15,France,31,Male,130.25
16,Germany,38,Female,170.0
18,Italy,47,Female,200.25
19,UK,30,Male,110.5
20,France,42,,180.75
21,Germany,29,Male,100.25
22,Spain,55,Female,230.0
23,Italy,36,Male,150.75
24,UK,25,Female,80.5
25,France,49,Male,215.25
26,Germany,34,Female,145.0
27,Spain,40,Male,175.5
28,Italy,23,Female,70.25
29,UK,51,Male,240.75
30,France,37,Female,165.0
31,Germany,43,Male,195.25
32,Spain,28,Female,85.75
33,Italy,46,Male,205.5
34,UK,33,Female,135.25
35,France,30,Male,120.0
36,Germany,52,Female,225.75
37,Spain,35,Male,155.5
38,Italy,27,Female,90.25
39,UK,48,Male,210.0
40,France,39,Female,170.25
41,Germany,31,Male,125.75
42,Spain,44,Female,190.0
43,Italy,25,Male,75.5
44,UK,50,Female,220.25
45,France,0,Male,160.75
46,Germany,41,Female,185.0
47,Spain,29,Male,105.25
48,Italy,53,Female,235.5
49,UK,32,Male,140.25
50,USA,28,Female,180.0
52,Australia,39,Female,210.5
53,Japan,33,Male,145.75
54,Brazil,47,Female,195.25
55,Mars,-100,Alien,999999.99
57,Atlantis,1000,Merperson,500.0
60,Digital Realm,0,AI,1010101.01
